Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,XREF
1,"R2",1K,0207/7,CFR-12JB-52-1K,Yageo,DK,1.0KEBK-ND,RES 1K OHM 1/6W 5% CARBON FILM,REF34
2,"D1, D2",1N4004,DO41-10,1N4004GP-E3/54,Vishay Semiconductor,DK,1N4004GP-E3/54GITR-ND,DIODE GEN PURP 400V 1A DO204AL,REF19
1,"R5",2.4K,0207/7,CFR-12JB-52-2K4,Yageo,DK,2.4KEBK-ND,RES 2.4K OHM 1/6W 5% CARBON FILM,REF36
4,"R3, R7, R9, R10",10K,0207/7,CFR-12JB-52-10K,Yageo,DK,10KEBK-ND,RES 10K OHM 1/6W 5% CARBON FILM,REF32
1,"R4",10K,EVUF,EVU-F3AF30B14,Panasonic Electronic Components,DK,P3A1103-ND,POT 10K OHM 9MM VERT NO BUSHING,REF40
1,"C3",10uF,E2,5-6E,TAP106M025SCS,AVX Corporation,DK,478-5813-ND,CAP TANT 10UF 25V 20% RADIAL,REF41
1,"Y1",16MHz,RESONATOR-PTH,CSTLS16M0X53-B0,Murata Electronics,DK,490-7035-ND,CER RESONATOR 16MHZ,REF24
1,"R1",24K,0207/7,CFR-12JB-52-24K,Yageo,DK,24KEBK-ND,RES 24K OHM 1/6W 5% CARBON FILM,REF35
1,"R8",100K,0207/7,CFR-12JB-52-100K,Yageo,DK,100KEBK-ND,RES 100K OHM 1/6W 5% CARBON FILM,REF33
4,"C1, C2, C4, C5",100nF,C025-025X050,SR295E104MAR,AVX Corporation,DK,478-5741-ND,CAP CER 0.1UF 50V 20% RADIAL,REF23
1,"R6",510,0207/7,CFR-12JB-52-510R,Yageo,DK,510EBK-ND,RES 510 OHM 1/6W 5% CARBON FILM,REF38
1,"S1",7101SD9CQE,CK7101SD9CQE,7101SD9CQE,C&K Components,DK,CKN1002-ND,SWITCH TOGGLE SPDT 5A 120V,REF53
1,"U1",ATMEGA328P_PDIP,DIL28-3,ATMEGA328P-PU,Atmel,DK,ATMEGA328P-PU-ND,IC MCU 8BIT 32KB FLASH 28DIP,REF21
4,"S2, S3, S4, S5",B3F-1070,B3F-10XX,B3F-1070,Omron Electronics,DK,SW406-ND,SWITCH Tactile SPST-NO 0.05A 24V,REF16
1,"BOM-PART4",BOM-PART,*,1-390261-9,TE Connectiveity,DK,A100210-ND,CONN IC SOCKET VERT 28POS TIN,REF51
1,"BOM-PART6",BOM-PART,*,450-AE186,Eagle Plastic Devices,ME,450-AE186,Knobs & Dials RIBBED .71" D T18 BK,REF49
1,"BOM-PART1",BOM-PART,*,1553DTBUBKBAT,Hammond Manufacturing,DK,HM1159-ND,BOX ABS 5.80X0.98" TR BL,REF50
1,"BOM-PART5",BOM-PART,*,1593ATS50,Hammond Manufacturing,DK,1593ATS50-ND,#4-1/4" SCREW FOR MNT PC BOARD 1=50,REF52
1,"BOM-PART2",BOM-PART,*,68002-116HLF,FCI,DK,609-3295-ND,CONN HEADER 16POS .100 STR 30AU,REF46
1,"BOM-PART3",BOM-PART,*,PPTC161LFBN-RC,Sullins Connector Solutions,DK,S7014-ND,CONN HEADER FEMALE 16POS .1" TIN,REF47
1,"JP7",FTDI_DEVICE,FTDI_DEVICE_SIDE,825437-6,TE Connectivity,DK,A106733-ND,CONN HEADER 6POS R/A 30GOLD,*
1,"JP6",HDR1X4,1X04/90,68016-204HLF,FCI,DK,609-3319-ND,CONN HEADER 4POS .100 R/A 15AU,REF44
4,"JP2, JP3, JP4, JP5",HDR2X3,2X03/90,68021-206HLF,FCI,DK,609-3343-ND,CONN HEADER 6POS .100 R/A 15AU,REF43
1,"U2",LCD-16X2SILK,LCD-16X2,LCM-S01602DSF/A,Lunex Opto/Components Inc,DK,67-1758-ND,LCD Module 16X2 CHARACTER W/LED,REF39
1,"IC1",MC33269D-5.0,DPACK,MC33269DTRK-5.0G,ON Semiconductor,DK,MC33269DTRK-5.0GOSTR-ND,IC REG LDO 5V 0.8A DPAK,REF18
